Scenario Name,Engine,Timestep (s),Response Time (s),Tokens Used
DEU_Bremen-7_23_T-1,gemini,4.9,30.37441897392273,
DEU_Weimar-68_1_T-3,gemini,9.600000000000001,21.94208312034607,
ESP_Vigo-99_28_T-1,gemini,4.6000000000000005,31.944921493530273,
ESP_Vigo-70_2_T-1,gemini,8.8,14.48954153060913,
DEU_Muehlhausen-5_1_T-1,gemini,1.3,23.498143196105957,
DEU_Schwetzingen-174_1_T-4,gemini,3.6,21.901565551757812,
DEU_Schweitenkirchen-5_1_T-36,gemini,5.800000000000001,15.401331901550293,
DEU_Weimar-57_1_T-1,gemini,9.200000000000001,32.96327352523804,
DEU_Bonn-38_4_T-1,gemini,3.6,22.850417613983154,
DEU_Hanover-38_33_T-1,gemini,7.0,48.37135982513428,
DEU_Bremen-1_10_T-1,gemini,14.3,25.35256862640381,
DEU_Nuremberg-27_1_T-1,gemini,5.300000000000001,13.705346584320068,
ESP_Bilbao-6_9_T-1,gemini,13.5,21.24853801727295,
CHN_Beijing-3_5_T-1,gemini,9.200000000000001,21.61197805404663,
USA_Austin-46_4_T-1,gemini,6.4,7.662482976913452,
USA_Washington-32_46_T-1,gemini,4.1000000000000005,34.33156681060791,
ESP_Barcelona-44_19_T-1,gemini,2.5,16.080835819244385,
ESP_Barcelona-10_44_T-1,gemini,10.200000000000001,17.70232605934143,
DEU_Backnang-2_1_T-1,gemini,2.0,23.178566217422485,
DEU_Schopfloch-6_1_T-2,gemini,4.9,23.39518690109253,
GRC_NeaSmyrni-117_1_T-6,gemini,3.6,20.079691648483276,
BEL_Brussels-51_2_T-1,gemini,3.9000000000000004,17.627389430999756,
USA_Austin-64_7_T-1,gemini,4.3,16.017719745635986,
DEU_Nuremberg-30_6_T-1,gemini,5.4,10.627656698226929,
BEL_Antwerp-13_5_T-1,gemini,7.300000000000001,26.651012897491455,
USA_Washington-12_38_T-1,gemini,3.3000000000000003,41.156355142593384,
GRC_NeaSmyrni-73_1_T-10,gemini,3.7,19.474958658218384,
DEU_Flensburg-62_1_T-1,gemini,5.300000000000001,25.598862171173096,
ESP_Barcelona-21_6_T-1,gemini,9.8,18.64950466156006,
ESP_Barcelona-44_27_T-1,gemini,5.300000000000001,28.532079935073853,
DEU_Bonn-19_2_T-1,gemini,12.100000000000001,18.6324200630188,
DEU_Kiel-52_2_T-1,gemini,3.8000000000000003,28.982068300247192,
ESP_Bilbao-13_20_T-1,gemini,2.2,24.408942937850952,
DEU_Salzwedel-74_1_T-4,gemini,7.4,22.550817251205444,
DEU_Bonn-35_11_T-1,gemini,3.7,21.609946250915527,
USA_Austin-77_10_T-1,gemini,6.0,18.376847982406616,
DEU_Guetersloh-32_1_T-1,gemini,1.7000000000000002,20.701260805130005,
DEU_Salzwedel-80_1_T-2,gemini,13.100000000000001,30.598724126815796,
ESP_Vigo-99_34_T-1,gemini,14.0,23.087238311767578,
FRA_Dijon-13_1_T-1,gemini,3.7,20.93584895133972,
ESP_Barcelona-39_27_T-1,gemini,3.4000000000000004,18.567633867263794,
DEU_Hanover-45_17_T-1,gemini,7.7,17.8180992603302,
DEU_Wolfsburg-39_1_T-8,gemini,0.7000000000000001,16.80089044570923,
DEU_Nuremberg-24_13_T-1,gemini,8.4,33.10360550880432,
GRC_ArchaioLimani-46_1_T-2,gemini,5.300000000000001,25.46591806411743,
CHN_Qingdao-18_2_T-1,gemini,4.1000000000000005,14.160944938659668,
ARG_Carcarana-1_8_T-1,gemini,3.1,19.48358988761902,
BEL_Antwerp-10_7_T-1,gemini,1.7000000000000002,23.591663360595703,
ESP_Vigo-63_4_T-1,gemini,8.3,18.601259469985962,
FRA_Dijon-28_4_T-1,gemini,2.1,22.124613761901855,
DEU_Leipzig-13_19_T-1,gemini,4.2,22.987154483795166,
ESP_Barcelona-3_6_T-1,gemini,3.6,34.92317032814026,
USA_Phoenix-17_14_T-1,gemini,6.6000000000000005,14.606964349746704,
ESP_Vigo-99_21_T-1,gemini,14.5,17.750614404678345,
ESP_Barcelona-38_52_T-1,gemini,3.6,32.1994411945343,
DEU_Memmingen-1_1_T-5,gemini,4.1000000000000005,21.921621084213257,
DEU_Lengede-44_1_T-6,gemini,6.9,19.944180250167847,
DEU_Schweitenkirchen-4_1_T-12,gemini,5.4,26.075660705566406,
DEU_Leipzig-37_8_T-1,gemini,3.1,19.065242290496826,
USA_Austin-8_1_T-1,gemini,4.1000000000000005,15.365152835845947,
DEU_Memmingen-138_1_T-4,gemini,7.0,30.772629737854004,
DEU_Leipzig-13_7_T-1,gemini,4.0,33.38112163543701,
ITA_Siderno-5_3_T-1,gemini,2.4000000000000004,20.29267454147339,
GRC_NeaSmyrni-98_1_T-1,gemini,4.7,21.423352241516113,
USA_Washington-34_15_T-1,gemini,11.700000000000001,16.360260009765625,
GRC_NeaSmyrni-154_1_T-2,gemini,3.1,42.06464457511902,
DEU_Schwetzingen-112_1_T-1,gemini,3.5,22.376381158828735,
DEU_Bonn-38_18_T-1,gemini,9.8,21.332329988479614,
ESP_Barcelona-6_18_T-1,gemini,4.9,16.790348052978516,
DEU_Nuremberg-6_21_T-1,gemini,6.7,30.984339714050293,
ESP_Barcelona-12_43_T-1,gemini,13.0,36.06752252578735,
DEU_Aschaffenburg-64_5_T-1,gemini,2.3000000000000003,19.493818044662476,
USA_Washington-12_15_T-1,gemini,3.0,28.69694423675537,
ESP_Barcelona-3_13_T-1,gemini,4.6000000000000005,26.099980115890503,
DEU_Aschaffenburg-15_26_T-1,gemini,7.0,21.621891260147095,
DEU_Schwetzingen-180_1_T-2,gemini,9.200000000000001,25.977432250976562,
ESP_Bilbao-23_16_T-1,gemini,5.0,14.348560094833374,
ESP_Vigo-70_3_T-1,gemini,4.0,18.13306999206543,
ESP_Ceuta-5_2_T-1,gemini,1.2000000000000002,15.769678831100464,
ITA_Empoli-2_5_T-1,gemini,2.6,16.697582721710205,
DEU_Schwetzingen-74_1_T-4,gemini,3.4000000000000004,29.782366037368774,
DEU_Aschaffenburg-21_21_T-1,gemini,6.4,25.89556646347046,
ESP_Barcelona-39_11_T-1,gemini,9.200000000000001,22.725708484649658,
DEU_Leipzig-63_24_T-1,gemini,5.300000000000001,25.38178253173828,
DEU_Schwetzingen-10_1_T-5,gemini,6.5,21.86150360107422,
USA_Phoenix-17_19_T-1,gemini,11.600000000000001,18.714707612991333,
DEU_Nuremberg-29_9_T-1,gemini,2.6,18.89091181755066,
FRA_Dijon-24_4_T-1,gemini,10.700000000000001,8.220247030258179,
BEL_Zwevegem-1_6_T-1,gemini,2.8000000000000003,24.40070128440857,
DEU_Nuremberg-6_34_T-1,gemini,3.8000000000000003,15.154644012451172,
DEU_Hennigsdorf-5_3_T-1,gemini,2.8000000000000003,22.042781829833984,
ESP_Barcelona-49_21_T-1,gemini,4.3,13.325436115264893,
GRC_NeaSmyrni-31_1_T-12,gemini,3.6,25.098358392715454,
DEU_Bremen-7_12_T-1,gemini,6.800000000000001,32.81013202667236,
GRC_NeaSmyrni-87_1_T-1,gemini,0.4,21.708431005477905,
DEU_Muehlhausen-10_5_T-1,gemini,1.2000000000000002,21.271965503692627,
DEU_Bremen-33_33_T-1,gemini,5.300000000000001,20.453489542007446,
ITA_Empoli-7_2_T-1,gemini,2.2,17.565431833267212,
BEL_Brussels-82_4_T-1,gemini,2.9000000000000004,13.768596887588501,
DEU_Hanover-44_28_T-1,gemini,5.7,16.37840485572815,
BEL_Antwerp-1_14_T-1,gemini,9.8,16.494796752929688,
